De Havilland DH-4,Unknown,01/01/01 0:00:00,-1
Curtiss R-4LM,Unknown,01/01/01 0:00:00,-1
Breguet 14,Unknown,01/01/01 0:00:00,-1
Junkers F-13,Unknown,01/01/01 0:00:00,-1
,Unknown,01/01/01 0:00:00,-1
Airship,Unknown,01/01/01 0:00:00,-1
Dirigible,Unknown,01/01/01 0:00:00,-1
Rohrbach Roland,Rohrbach Metall-Flugzeugbau,26/01/01 0:00:00,18
de Havilland DH.50,De Havilland,23/01/01 0:00:00,38
Lockheed Vega,Lockheed Corporation,27/01/01 0:00:00,132
Northrop Alpha,1931 in aviation,30/01/01 0:00:00,17
Armstrong Whitworth Argosy,Imperial Airways,26/01/01 0:00:00,7
Boeing 247,Boeing,33/01/01 0:00:00,75
Northrop Delta,Northrop Corporation,33/01/01 0:00:00,32
Breguet 280T,Breguet Aviation,28/01/01 0:00:00,19
Douglas DC-2,Douglas Aircraft Company,34/01/01 0:00:00,198
Consolidated Fleetster,Consolidated Aircraft,11/01/01 0:00:00,26
de Havilland Dragon,De Havilland,32/01/01 0:00:00,202
Stinson Model A,Stinson Aircraft Company,34/01/01 0:00:00,31
Vultee V-1,Airplane Development Corporation,33/01/01 0:00:00,25
Sikorsky S-42,Sikorsky Aircraft,01/01/01 0:00:00,10
Douglas DC-3,Douglas Aircraft Company,35/01/01 0:00:00,607
Short Empire,Short Brothers,11/01/01 0:00:00,42
Stinson Reliant,Stinson Aircraft Company,33/01/01 0:00:00,1327
Martin M-130,Glenn L. Martin Company,34/01/01 0:00:00,3
Boeing 307 Stratoliner,Boeing,38/01/01 0:00:00,10
Lockheed L-049 Constellation,Lockheed Corporation,49/01/01 0:00:00,88
Douglas DC-4,Douglas Aircraft Company,11/01/01 0:00:00,80
Avro York,Avro,42/01/01 0:00:00,259
Douglas DC-6,Douglas Aircraft Company,46/01/01 0:00:00,704
de Havilland Dove,De Havilland,45/01/01 0:00:00,542
Fiat G.212,Fiat Aviazione,47/01/01 0:00:00,19
Cessna 140,Cessna,01/01/01 0:00:00,7664
Boeing 377 Stratocruiser,Boeing Commercial Airplanes,47/01/01 0:00:00,76
SNCASE Languedoc,SNCASE,39/01/01 0:00:00,100
Douglas DC-7,Douglas Aircraft Company,53/01/01 0:00:00,343
Vickers Viscount,Vickers-Armstrongs,48/01/01 0:00:00,445
Bristol Britannia,Bristol Aeroplane Company,52/01/01 0:00:00,85
de Havilland Canada DHC-3 Otter,De Havilland Canada,51/01/01 0:00:00,466
Airspeed Ambassador,Airspeed Ltd,47/01/01 0:00:00,23
Boeing 707,Boeing Commercial Airplanes,11/01/01 0:00:00,1010
Sud Aviation Caravelle,Sud Aviation,55/01/01 0:00:00,282
Cessna 310,Cessna,53/01/01 0:00:00,6321
Tupolev Tu-104,Tupolev,55/01/01 0:00:00,201
Douglas DC-8,Douglas Aircraft Company,58/01/01 0:00:00,556
Handley Page Hastings,Handley Page,46/01/01 0:00:00,151
de Havilland Comet,De Havilland,49/01/01 0:00:00,114
BAC One-Eleven,British Aircraft Corporation,63/01/01 0:00:00,244
Cessna 180,Cessna,52/01/01 0:00:00,6193
Handley Page Dart Herald,Handley Page,55/01/01 0:00:00,50
Vickers Vanguard,Vickers-Armstrongs,59/01/01 0:00:00,44
Piper PA-32,Piper Aircraft,63/01/01 0:00:00,7842
McDonnell Douglas DC-9,Douglas Aircraft Company,65/01/01 0:00:00,976
Boeing 727,Boeing Commercial Airplanes,63/01/01 0:00:00,1832
Cessna 210,Cessna,01/01/01 0:00:00,9240
Beechcraft Baron,Beechcraft,01/01/01 0:00:00,6691
de Havilland Canada DHC-6 Twin Otter,De Havilland Canada,65/01/01 0:00:00,900
Cessna 150,Cessna,57/01/01 0:00:00,23949
Hawker Siddeley Trident,Hawker Siddeley,62/01/01 0:00:00,117
Boeing 737,Boeing Commercial Airplanes,67/01/01 0:00:00,8920
