CSA,Czech Airlines a.s.
UAE,Emirates
FDX,FedEx
1BT,Military - U.S. Army
4TX,Military - U.S. Navy
8LC,Private
6VP,Military - German Navy
0NU,Military - German Army
3FY,US Aerial Mail Service
2QL,Aircraft Transport and Travel
5IQ,By Air
4SC,Latecoere Airlines
7KH,Handley Page Transport
1CM,Aeropostale
9NZ,Military - Royal Australian Air Force
3FD,Military - Royal Airship Works
6XI,Franco-Roumaine
5HV,West Australian Airways
8ZZ,Military - U.S. Army Air Service
7KM,Daimler Airways / Grands Express Aeriens
0CR,Vickers
4UW,Cie des Messageries Aeriennes
2EI,Amee de l'Air
6WN,Campagnie France Roumaine
9OS,CCCP
8ZE,Military - French Navy
1RJ,KLM Royal Dutch Airlines
0BW,SCADTA
3TB,Imperial Airways
7LF,Zakavia
5WS,Lignes Aeriennes Latecoere
9OX,CIDNA
2GC,Air Union
1QO,Deutche Lufthansa
4JT,Compagnie Internationale de Navigation Aérienne
3TG,Deutsche Lufthansa
6LK,PacifiAir Transport
0DP,Qantas
8OC,Varney Air Lines
2GG,Colonial Air Transport
5YL,Reynolds Airways
4IY,Aero O-Y
7AD,National Air Transport
6LP,Colonial Western Airlines
9DU,Boeing Air Transport
3VZ,Iberia Airlines
1FL,Ford Air Freight Inc.
5XQ,British Columbia Airways
8PV,National Parks Airways
7AI,Universal Airlines
0SM,Continental Air Lines
9CZ,Sunbeam Air Transport Co.
2UE,Syndicato Condor
6MJ,Interstate Airlines
4XV,Aeroespresso
8PA,Skyline Transportation Company
1HF,New Standard Airlines
0RR,Maddux Airlines / Military - U.S.Army Air Force
3JW,MALERT
2UJ,Pan American Airways
5MN,Northwest Orient Airlines
9ES,Aero Lloyd
7OF,Middle States Airlines
1GK,Ukvozduchput
4YO,Associated Aviators
3JB,Trans Continental Air Transport
6BG,Pickwick Airways
5LS,Bremerton-Seattle Air Taxi / Gorst Air Lines
8DX,Corp. Aeronautica de Transportes
2WC,Air Orient
0GP,Central  Airlines
4YT,Canadian Colonial Airways
7QY,Cross Airways
6BL,Ceskoslovenske Aerolinie
9TP,Sabena
8DC,Western Canada Airways
1VH,Military - British Air Ministry
5NM,Alaska-Washington Airways
3YY,Embry Riddle Company
7QD,China National Aviation Corporation
1II,Dominion Air Lines
9SU,Australian National Airways
2KZ,Trans Continental and Western Air
1VM,Guiena Airways
4NR,Rubner Flying Service
8FV,Braniff Airlines
6PI,Australian Aerial Services
0HN,Chicago-Detroit Airways
4ZS,"NY, Phil., Washington AW"
2KE,Union Airways
6CJ,Braniff Airways
4MW,Northwest Airways
7EA,Century PacifiLines
1WF,Bimini Airways
9HS,Transamerican Airlines
3ZW,Century Air Lines
7RB,Transamerica Airlines
5BO,Panagra
9TT,A B Aerotransport
7EF,New England Airways
0WK,Lloyd Aero Boliviano
4OP,Hunter Airways
2YB,Guinea Airways
6QG,Eastern Air Transport
0JL,Pan American Grace Airways
8TY,Varney Airlines
2LC,Eurasia
0VP,Aeropostale - La Tecoere Company
4OU,Aeroput
7GY,United Air Lines
5QL,Air France
9IQ,Kalinin
3AV,Boeing Aircraft Company
1LH,Pan American Airways (Scadta)
5DM,Pan American Grace Airlines
3NZ,Aerevias Centrales Air Service
7FD,United Air Services
0XI,Swissair
9IV,Rapid Air Transport
2AA,Holyman Airways
6SE,Holdens Air Transport Service
4CR,Cubana de Aviacion
8UW,American Airlines
6FI,Deruluft
0XN,Misrair
3PS,Knowles Flying Service of Detroit
2ZF,Gor'ky Eskadril'ya
5RJ,Wyoming Air Service
9JO,Chicago and Southern Airlines
7UB,Servicio Aereo Columbiano / SCADTA
1MF,Wedell-Williams Air Service Corporation
9WS,Delta Air Lines
3OX,Aero Mayflower Transit Co
6GC,Western Air Express
5RO,Chamberlin Flying Service
8JT,TACA
2BY,Air Bleu
0LK,Lloyd Aereo Boliviano
4DP,Compania de Mexico
2OC,Avio Linee Italiane
6GH,Den Norske Luftfartskole
9YL,Guernsey Airways
8IY,Mexicana
1BD,Chicago Southern Airlines
5TH,British Airways
3DU,Blue Bird Air Service
7VZ,North Sea Aerial and General Transport
5GL,Eastern Air Lines
9YQ,Airlines of Australia
2QV,Deutsche Zeppelin Reederei
1AI,Private - Purdue Reasearch Foundation
4SM,Ala Littoria
8KR,Pan American World Airways
